DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2026-04-06 21:53:26,908,94,0,255.287,223.131,47,79,3713,0,0,63.064,139.085
2026-04-06 21:53:28,902,4,0,12.75,0.829,2,79,158,0,0,1.5,2.75
2026-04-06 21:53:30,901,1,0,13,0,0.5,79,39.5,0,0,3,5
2026-04-06 21:53:32,702,232,0,1820.448,893.458,116,127.56,14797,131,0,379.836,605.694
2026-04-06 21:53:34,356,331,0,1281.224,427.169,165.5,165,27307.5,331,0,317.613,410.773
2026-04-06 21:53:36,100,238,0,1177.588,301.227,119,165,19635,238,0,266.37,343.798
2026-04-06 21:53:38,4,96,0,375.073,240.115,48,165,7920,96,0,111.844,152.396
2026-04-06 21:53:40,1,3,0,14.333,0.943,1.5,165,247.5,3,0,4.333,5.667
2026-04-06 21:53:42,0,1,0,13,0,0.5,165,82.5,1,0,4,5
