Lock,Vuser,Worst Mean Latency,Overall Mean Latency,Best Mean Latency,Overall p95 Latency,Overall Std Dev,2-Sigma
Pessimistic Lock,500,673.77,310.66,88.50,857.87,348.07,696.15
Pessimistic Lock,800,856.13,563.11,286.06,1371.57,471.71,943.43
Pessimistic Lock,1000,1065.27,660.91,323.46,1568.47,524.03,1048.07
Spin Lock,500,533.57,326.48,149.11,905.36,358.53,717.05
Spin Lock,800,885.15,506.29,223.15,1302.00,477.80,955.60
Spin Lock,1000,1171.84,708.40,302.25,1687.46,562.56,1125.12
Pub/Sub Lock,500,645.38,281.46,69.41,791.79,329.93,659.86
Pub/Sub Lock,800,935.89,585.05,266.06,1452.86,507.88,1015.75
Pub/Sub Lock,1000,942.57,687.44,444.21,1629.41,535.33,1070.65
ZooKeeper Lock,500,629.45,303.99,87.17,844.17,348.35,696.70
ZooKeeper Lock,800,898.01,529.59,192.78,1337.55,485.64,971.28
ZooKeeper Lock,1000,988.83,697.99,423.26,1632.82,525.97,1051.93
Adaptive Lock,500,500.90,261.51,92.48,747.58,315.40,630.80
Adaptive Lock,800,848.33,483.22,230.99,1251.48,459.33,918.67
Adaptive Lock,1000,947.53,597.69,349.18,1467.82,497.91,995.82
